ENRLMT_ID,NPI
I20031118001113,1922062512
I20040202000092,1032104303
I20040413001160,1902859762
I20040415000015,1649484015
I20040521000160,1205835485
I20040604000168,1881768869
I20040723000231,1801036686
I20040802000243,1669418976
I20040813000975,1073567046
I20040903000429,1750436705
I20040917000028,1942258538
I20040923000724,1750349437
I20041101000526,1326160862
I20041104000743,1366403503
I20041109001003,1497788707
I20041214000266,1174716708
I20050112001174,1538181912
I20050209000365,1205881687
I20050225000540,1962492850
I20050316000570,1720192560
I20050323001050,1346262276
I20050817000582,1366403503
I20051219000340,1710931332
I20060106000298,1215960828
I20060228000474,1669474946
I20060306000181,1497794721
I20060417000783,1649284597
I20060510000335,1205878683
I20060605000213,1275512105
I20060614000088,1023010501
I20060626000126,1861435919
I20060711000238,1609811173
I20060808000300,1205860012
I20060824000285,1003085572
I20060826000098,1780603365
I20060905000136,1821066226
I20060915000051,1620907802
I20061004000675,1346223179
I20061012000154,1003841172
I20061017000494,1275625212
I20061018000226,1073627089
I20061025000792,1427155316
I20061121000383,1902859762
I20070502000066,1275670689
I20080617000199,1134328214
I20081106000496,1932311214
I20100127000202,1720132368
I20100222000525,1154652907
I20100327000488,1427052109
I20100519000830,1275670689
I20100802000653,1265744080
I20100813000422,1902843790
I20100820000002,1194832477
I20100820000886,1538238571
I20100824001224,1467440909
I20100909000944,1639164973
I20100924000857,1659542082
I20100928000967,1487604609
I20101026001581,1760650816
I20110718000370,1700833357
I20111017000038,1386673499
I20111229000051,1710931332
I20120315000004,1238517175
I20120410000246,1033154745
I20120813000764,1558570671
I20130408000461,1235450669
I20130417000474,1265678759
I20140226000454,1255304887
I20140708001154,1841223682
I20140718002253,1841223682
I20151121000265,1346432887
I20160706002280,1942532312
I20170901000960,1023676665
I20181106001130,1407060585
I20190114000176,1821066226
I20210604001980,1942532312
I20210921000375,1811561616
I20220416000127,1316928419
I20231114002521,1376595348
I20231128000210,1871366682
I20240109001416,1891422291
I20240731000219,1801036686
I20241109000140,1023676665
I20250204003300,1487637252
I20250417001617,1700833357
I20250508001475,1376145177
I20250521000418,1902859762
I20250521000941,1902859762
I20260217000358,1023676665
O20020815000031,1730834656
O20020823000004,1053342444
O20020823000004,1356372585
O20020829000007,1144334525
O20020829000007,1801900212
O20020829000010,1033273321
O20020903000004,1053984617
O20020903000004,1063774586
O20020904000020,1467435743
O20020904000020,1821317231
O20020910000000,1134205610
O20020923000021,1427482579
O20020923000021,1538496096
O20020923000021,1669400214
O20020923000021,1841347598
O20021015000013,1275694184
O20021018000014,1316921729
O20021021000020,1306807193
O20021021000020,1336100767
O20021021000020,1356689004
O20021021000020,1700121894
O20021021000020,1851489330
O20021021000020,1891113965
O20021021000020,1952362741
O20021022000020,1114268471
O20021025000008,1538133855
O20021030000000,1154372381
O20021030000000,1285392936
O20021030000000,1629028600
O20021030000000,1992756118
O20021031000003,1497797740
O20021121000014,1649523168
O20021121000014,1710282777
O20021202000025,1841384765
O20021205000026,1467487637
O20021211000008,1144229188
O20021217000017,1154304467
O20021217000028,1629378880
O20021217000028,1700809761
O20021217000028,1821254129
O20021217000028,1871747659
O20021218000018,1962888016
O20021223000017,1861417362
O20030103000013,1396792008
O20030115000003,1386624278
O20030124000007,1326646886
O20030124000007,1811595374
O20030124000007,1851990980
O20030131000003,1235355983
O20030131000036,1942307251
O20030205000000,1437139664
O20030207000014,1265615728
O20030214000003,1598744856
O20030214000018,1356388599
O20030221000013,1164164968
O20030221000013,1508906702
O20030221000013,1518553411
O20030221000013,1619642394
O20030221000013,1700156585
O20030221000013,1730966086
O20030221000013,1841330826
O20030221000013,1881734176
O20030224000043,1124585013
O20030224000043,1558560904
O20030224000043,1629278353
O20030226000003,1891793246
O20030226000010,1003895277
O20030226000010,1013107523
O20030303000008,1629688429
O20030305000024,1023030954
O20030305000024,1386989069
O20030305000024,1487092904
O20030305000024,1568480531
O20030305000024,1699980250
O20030305000024,1720276652
O20030305000024,1740200641
O20030305000024,1750309720
O20030305000024,1770123481
O20030305000024,1780911123
